,AAPL,ABEV,ABT,ADBE,ADP,AGRO,AIG,AMD,AMGN,AMX,AMZN,ARCO,AUY,AVY,AXP,AZN,BA,BABA,BAC,BBD,BBVA,BCS,BG,BHP,BIDU,BIIB,BMY,BP,BRFS,BSBR,C,CAR,CAT,CBD,CDE,CHA,CHL,CL,COST,CRM,CS,CSCO,CVX,CX,DD,DE,DEO,DESP,DIS,EBAY,ERIC,ERJ,FB,FCX,FDX,FMX,GE,GGB,GILD,GLOB,GOLD,GOOGL,GRMN,GS,GSK,HD,HL,HMC,HMY,HNP,HON,HPQ,HSBC,IBM,IBN,INFY,ING,INTC,ITUB,JD,JNJ,JPM,KMB,KO,KOF,LLY,LMT,LVS,LYG,MCD,MDT,MELI,MMM,MO,MRK,MSFT,MSI,NEM,NFLX,NGG,NKE,NOK,NUE,NVDA,NVS,OGZPY,ORCL,PBR,PEP,PFE,PG,PTR,PYPL,QCOM,RDSB.L,RIO,RTX,SAP,SBS,SBUX,SID,SIEGY,SLB,SNA,SNAP,SNE,SNP,SUZ,T,TEF,TGT,TIIAY,TM,TMO,TOT,TRIP,TRV,TSLA,TSM,TSU,TWTR,TX,TXN,UGP,UN,USB,V,VALE,VIV,VOD,VRSN,VZ,WFC,WMT,X,XOM,XRX,YELP,YZCAY
,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close
Dates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-12-26,72.48,4.71,87.28,331.2,170.35,8.49,50.62,46.63,241.9,16.17,1868.77,8.23,3.9,133.08,125.41,49.85,329.92,216.38,35.52,8.94,5.59,9.42,57.38,54.81,127.58,301.79,63.96,37.98,8.64,11.85,79.83,32.67,148.22,22.23,8.11,40.88,41.73,68.58,295.73,164.51,13.26,47.85,120.6,3.89,63.73,174.8,166.99,13.6,145.7,36.25,8.88,19.42,207.79,13.17,152.49,94.31,11.23,4.83,66.39,109.58,18.36,1362.47,98.07,231.21,46.91,220.82,3.4,28.76,3.56,20.07,176.88,20.69,38.92,134.91,15.1,10.17,12.01,59.82,9.15,36.24,145.83,139.04,137.23,55.02,60.77,131.14,392.3,69.94,3.3,197.06,112.58,597.24,176.59,50.4,91.34,158.67,161.38,42.69,332.63,62.64,100.71,3.62,56.8,239.19,94.81,8.17,53.57,16.13,136.69,39.38,125.22,49.66,109.75,88.4,,59.49,94.85,134.58,15.16,88.08,3.55,65.33,40.07,169.78,15.97,68.02,59.62,9.98,39.16,7.09,128.89,6.32,141.53,325.71,55.11,30.35,136.29,86.19,58.25,19.21,32.63,22.72,128.48,6.32,56.97,60.15,189.16,13.49,14.52,19.41,193.71,61.29,54.15,119.52,11.43,70.13,37.48,34.66,8.9
2019-12-27,72.45,4.71,87.4,330.79,170.77,8.39,51.07,46.18,241.53,16.31,1869.8,8.3,3.85,131.61,125.19,50.44,330.14,215.47,35.35,8.9,5.59,9.45,57.37,54.93,126.45,300.09,64.14,37.86,8.64,11.89,79.67,32.39,148.28,21.69,7.97,41.6,42.07,69.18,294.11,164.98,13.41,47.77,120.3,3.85,63.73,175.81,169.01,13.57,145.75,36.07,8.86,19.37,208.1,13.03,152.53,94.74,11.18,4.82,65.95,107.94,18.37,1354.64,98.52,230.66,47.29,219.97,3.31,28.58,3.57,19.95,176.48,20.53,39.0,135.27,15.28,10.26,12.03,60.08,9.11,35.93,145.75,139.14,138.07,55.35,60.95,131.52,393.6,69.74,3.29,198.17,113.35,599.24,177.26,50.4,91.5,158.96,161.45,42.71,329.09,62.92,101.57,3.63,56.68,236.87,95.37,8.23,53.46,15.92,137.54,39.32,126.09,50.06,109.4,88.8,,59.35,94.58,134.98,15.1,88.13,3.43,65.81,40.0,169.2,16.03,67.78,60.0,9.88,39.24,7.16,129.21,6.21,141.28,326.55,54.98,30.29,136.8,86.08,58.46,19.06,32.55,22.21,128.57,6.31,57.97,59.73,189.39,13.22,14.39,19.62,194.05,61.53,53.92,119.59,11.14,69.89,37.31,34.85,8.95
2019-12-30,72.88,4.65,86.8,328.34,169.59,8.35,51.0,45.52,240.27,16.07,1846.89,8.3,3.95,130.98,124.3,50.01,326.4,212.91,35.15,8.95,5.56,9.42,57.15,54.72,126.29,296.01,63.73,37.6,8.7,12.21,79.51,32.68,147.52,21.75,8.05,41.24,42.19,68.79,295.14,162.44,13.43,47.59,119.85,3.79,62.29,174.16,168.42,13.42,143.77,35.8,8.76,19.6,204.41,13.01,150.14,94.56,11.08,4.91,64.93,106.1,18.61,1339.71,97.95,229.8,47.08,217.31,3.38,28.27,3.63,19.83,176.42,20.49,38.98,132.81,15.13,10.16,12.0,59.62,9.15,35.4,145.3,138.63,136.89,55.27,60.47,131.3,391.9,69.3,3.3,196.91,112.93,583.85,175.83,49.89,91.03,157.59,160.96,43.75,323.31,62.65,100.8,3.69,56.08,232.32,94.55,8.16,52.7,15.9,136.81,38.91,124.47,49.57,107.97,88.43,2247.5,59.17,94.32,133.39,15.07,87.44,3.48,64.67,40.4,168.84,15.89,67.72,59.68,9.9,39.04,7.08,128.89,6.15,140.61,325.04,55.09,30.02,136.49,82.94,57.85,19.28,32.03,22.09,127.66,6.28,57.68,59.17,187.83,13.19,14.36,19.34,192.33,61.21,53.6,119.4,11.24,69.48,36.9,34.58,9.25
2019-12-31,73.41,4.66,86.86,329.81,170.5,8.37,51.33,45.86,241.07,16.0,1847.84,8.1,3.95,130.82,124.49,49.86,325.76,212.1,35.22,8.95,5.58,9.52,57.55,54.71,126.4,296.73,64.19,37.74,8.7,12.13,79.89,32.24,147.68,21.87,8.08,41.19,42.27,68.84,293.92,162.64,13.45,47.96,120.51,3.78,64.2,173.26,168.42,13.48,144.63,36.11,8.78,19.49,205.25,13.12,151.21,94.51,11.16,4.9,64.98,106.05,18.59,1339.39,97.56,229.93,46.99,218.38,3.39,28.31,3.63,20.09,177.0,20.55,39.09,134.04,15.09,10.32,12.05,59.85,9.15,35.23,145.87,139.4,137.55,55.35,60.62,131.43,389.38,69.04,3.31,197.61,113.45,571.94,176.42,49.91,90.95,157.7,161.14,43.45,323.57,62.67,101.31,3.71,56.28,235.3,94.69,8.22,52.98,15.94,136.67,39.18,124.9,50.33,108.17,88.23,2239.5,59.36,94.25,133.99,15.05,87.92,3.45,64.97,40.2,169.4,16.33,68.0,60.15,9.84,39.08,6.97,128.21,6.18,140.54,324.87,55.3,30.38,136.95,83.67,58.1,19.11,32.05,22.0,128.29,6.26,57.46,59.29,187.9,13.2,14.32,19.33,192.68,61.4,53.8,118.84,11.41,69.78,36.87,34.83,9.0
2020-01-02,75.09,4.73,86.95,334.43,170.32,8.13,51.76,49.1,240.1,16.26,1898.01,8.16,3.91,129.31,125.85,50.39,333.32,219.77,35.64,9.23,5.72,9.76,57.56,54.92,138.22,294.24,63.34,38.14,8.86,12.64,81.23,33.33,150.53,22.2,7.81,41.53,42.44,68.12,291.49,166.99,13.75,48.42,121.43,3.84,63.5,176.86,166.75,13.78,148.2,36.3,9.01,20.03,209.78,13.2,155.1,96.25,11.93,5.09,65.23,107.74,18.49,1368.68,98.34,234.32,46.92,219.66,3.42,28.64,3.69,20.45,180.79,20.79,39.37,135.42,15.23,10.29,12.43,60.84,9.38,37.73,145.97,141.09,135.83,54.99,61.35,132.21,399.37,70.8,3.34,200.79,114.56,610.19,180.0,49.25,92.04,160.62,161.63,43.22,329.81,62.34,102.2,3.87,55.12,239.91,94.95,8.46,53.95,16.27,135.82,39.14,123.41,51.11,110.75,88.69,2258.5,59.89,96.38,136.81,14.98,89.35,3.62,66.51,40.17,169.0,16.78,69.06,61.22,10.15,38.86,7.09,126.07,6.2,142.24,326.37,55.27,30.26,137.51,86.05,60.04,19.61,32.3,22.72,129.57,6.38,57.38,59.2,191.12,13.45,14.15,19.43,196.73,61.05,53.75,118.94,10.82,70.9,36.93,34.77,9.14
2020-01-03,74.36,4.67,85.89,331.81,169.96,8.29,51.36,48.6,238.47,16.24,1874.97,7.97,3.88,128.51,124.6,50.09,332.76,217.0,34.9,9.25,5.58,9.51,57.94,54.55,133.8,290.85,62.78,38.83,8.79,12.59,79.7,32.67,148.44,22.16,7.7,40.95,41.74,68.02,291.73,166.17,13.48,47.63,121.01,3.8,62.16,175.55,166.41,13.93,146.5,35.96,8.85,20.05,208.67,12.8,153.18,96.66,11.97,4.96,65.07,108.58,18.57,1361.52,97.71,231.58,46.48,218.93,3.35,28.13,3.72,20.2,178.86,20.53,38.76,134.34,14.92,10.31,12.2,60.1,9.3,37.99,144.28,138.34,135.79,54.69,61.37,131.77,413.74,69.72,3.3,200.08,113.88,607.8,178.45,49.63,91.25,158.62,164.38,42.83,325.9,62.2,101.92,3.81,54.39,236.07,94.79,8.26,53.76,15.99,135.63,38.93,122.58,51.62,108.76,87.02,2306.5,58.84,96.51,133.98,14.72,88.83,3.54,64.75,40.56,167.09,16.75,68.08,61.52,9.98,39.06,7.08,124.76,6.16,140.75,322.82,55.47,30.17,137.02,88.6,58.06,19.5,31.52,22.32,127.85,6.23,57.26,58.51,189.6,13.29,14.09,19.29,200.88,60.4,53.42,117.89,10.74,70.33,36.45,34.72,9.15
2020-01-06,74.95,4.62,86.34,333.71,170.19,8.35,51.4,48.39,240.3,16.16,1902.88,8.15,3.87,126.89,124.06,49.88,333.74,216.64,34.85,9.01,5.62,9.49,57.52,54.49,135.94,290.82,62.98,39.85,8.66,11.64,79.45,32.87,148.34,21.97,6.93,40.39,41.37,68.49,291.81,173.45,13.53,47.8,120.6,3.84,61.72,176.81,167.72,13.84,145.65,35.78,8.91,19.99,212.6,12.85,153.3,97.19,12.14,4.96,65.65,107.64,18.39,1397.81,97.69,233.95,46.5,219.96,3.31,28.05,3.78,20.16,177.51,20.61,38.63,134.1,14.72,10.21,12.19,59.93,9.1,38.0,144.1,138.23,136.09,54.67,61.29,132.26,413.11,70.09,3.33,202.33,114.89,606.55,178.62,49.83,91.64,159.03,166.92,43.26,335.83,62.17,101.83,3.94,53.93,237.06,95.43,8.27,54.04,16.22,136.15,38.88,122.75,53.37,110.17,86.51,2313.5,58.45,96.71,134.2,14.36,88.13,3.45,65.01,40.82,165.86,16.78,69.11,61.95,9.81,39.1,7.08,123.58,6.11,140.77,325.14,56.51,30.06,137.17,90.31,57.39,19.33,31.64,21.71,126.96,6.09,57.16,57.71,189.19,13.14,13.95,19.34,202.74,60.27,53.1,117.65,10.79,70.87,35.9,34.44,9.27
2020-01-07,74.6,4.63,85.86,333.39,168.13,8.39,51.11,48.25,238.04,15.92,1906.86,8.09,3.93,126.61,123.41,50.07,337.28,217.63,34.62,8.85,5.54,9.51,57.04,54.49,136.7,290.09,63.93,39.43,8.6,11.57,78.76,33.02,146.38,21.83,6.89,40.16,41.01,67.55,291.35,176.0,13.79,47.49,119.06,3.76,60.77,173.74,166.28,13.79,145.7,35.62,8.82,20.16,213.06,13.05,154.8,97.6,12.05,5.03,65.12,109.18,18.47,1395.11,97.54,235.49,46.21,218.52,3.41,28.21,3.87,20.04,177.61,20.66,38.34,134.19,14.58,10.1,12.21,58.93,8.88,38.32,144.98,135.88,135.97,54.25,61.13,132.51,414.5,70.16,3.3,202.63,114.49,625.0,177.9,49.57,89.2,157.58,165.72,43.23,330.75,61.9,101.78,3.95,53.81,239.93,94.48,8.24,54.16,16.06,134.01,38.75,121.99,52.86,109.67,88.97,2299.0,58.39,96.41,133.62,14.08,87.86,3.46,64.74,40.61,164.79,17.03,70.2,61.66,10.02,39.25,6.96,123.8,6.02,141.51,326.98,56.19,30.47,135.16,93.81,58.32,19.49,32.54,21.48,129.41,6.21,56.12,57.16,188.69,13.23,13.93,19.21,203.21,59.6,52.66,116.56,11.13,70.29,35.95,34.57,9.41
2020-01-08,75.8,4.64,86.21,337.87,169.71,8.37,51.71,47.83,238.22,15.86,1891.97,8.0,3.71,126.99,125.54,49.95,331.37,218.0,34.97,8.71,5.6,9.53,56.39,54.76,137.83,292.66,63.86,38.83,8.94,11.5,79.36,33.62,147.68,22.22,6.29,40.18,41.23,69.27,294.69,177.33,13.92,47.52,117.7,3.84,61.5,175.9,168.5,13.69,145.4,35.6,8.9,19.97,215.22,13.18,157.13,97.58,11.94,5.06,65.8,112.86,17.82,1405.04,97.0,237.76,46.41,221.79,3.26,28.13,3.61,19.91,177.76,20.93,38.25,135.31,14.71,10.09,12.34,58.97,8.75,38.3,144.96,136.94,137.29,54.35,61.12,133.71,411.03,70.8,3.29,205.91,116.5,633.44,180.63,50.08,88.6,160.09,165.89,42.08,339.26,61.62,101.55,4.02,53.68,240.38,94.48,8.25,54.13,15.7,134.7,39.06,122.51,51.77,111.82,88.71,2290.5,58.9,96.55,135.08,13.85,88.88,3.44,65.24,39.41,166.61,16.67,70.46,60.77,10.58,39.37,6.86,123.4,5.86,141.16,327.5,55.85,30.59,136.61,98.43,58.75,19.7,33.05,21.92,129.76,6.18,55.68,57.04,191.92,13.22,13.9,19.3,204.15,59.71,52.82,116.16,11.1,69.23,35.93,35.54,9.18
2020-01-09,77.41,4.58,86.44,340.45,171.21,8.45,52.28,48.97,238.93,15.88,1901.05,8.03,3.65,128.73,127.81,50.08,336.34,221.78,35.03,8.56,5.61,9.51,55.98,54.24,140.86,294.3,65.45,38.96,8.96,11.29,80.08,35.55,147.31,22.38,6.4,40.21,41.63,69.86,299.42,179.6,13.95,47.32,117.51,3.8,60.95,177.6,169.85,13.81,144.83,35.18,8.87,19.78,218.3,12.96,158.05,96.91,11.91,4.99,65.84,113.25,17.6,1419.79,97.4,242.6,46.65,225.19,3.07,28.03,3.66,19.98,179.07,21.24,38.5,136.74,15.14,10.48,12.25,59.3,8.56,38.9,145.39,137.44,139.46,55.34,60.6,135.92,414.93,71.52,3.23,208.35,118.39,646.43,181.2,50.57,89.38,162.09,168.69,41.66,335.66,61.2,101.48,4.01,53.5,243.02,94.77,8.23,54.38,15.75,134.79,38.89,123.85,52.55,112.57,89.91,2269.5,58.29,96.7,137.13,14.14,90.53,3.39,65.76,39.86,166.66,17.36,71.03,61.6,10.48,38.8,6.84,123.5,5.77,140.51,329.61,55.88,30.49,137.62,96.27,59.23,19.44,33.22,22.48,131.33,6.14,56.01,57.06,193.25,12.99,13.85,19.88,208.88,58.85,52.73,117.36,10.85,69.76,36.6,35.16,9.24
2020-01-10,77.58,4.61,85.36,339.81,171.09,8.45,52.03,48.17,238.26,16.02,1883.16,8.07,3.72,128.51,127.28,49.85,329.92,223.83,34.74,8.37,5.49,9.41,55.66,54.39,144.51,296.51,65.23,38.74,8.8,11.13,79.25,34.5,146.13,22.02,6.55,39.81,41.49,70.15,297.24,180.2,13.74,47.13,116.44,3.83,59.71,173.43,169.14,13.9,144.62,34.89,8.63,19.69,218.06,12.9,156.63,96.5,11.67,5.07,65.03,110.74,17.85,1428.96,96.5,242.11,46.79,224.22,3.08,27.72,3.7,19.98,178.68,21.38,38.14,136.69,15.04,10.65,12.02,58.94,8.45,39.11,145.06,136.07,140.23,55.53,60.56,138.0,413.83,70.91,3.13,207.27,118.64,669.48,180.47,50.22,89.53,161.34,167.3,42.27,329.05,61.05,100.9,4.02,52.77,244.32,93.86,8.16,54.45,15.64,134.53,39.49,123.97,51.46,112.93,90.26,2270.0,58.45,95.57,136.98,13.94,90.16,3.44,64.32,39.83,166.55,17.41,70.86,60.87,10.5,38.57,6.84,124.73,5.76,139.73,328.73,55.46,30.12,135.51,95.63,58.86,19.73,32.78,22.57,130.0,6.09,55.79,56.67,193.77,12.97,13.94,19.69,209.12,58.99,52.5,116.38,10.72,69.14,36.65,35.28,8.99
2020-01-13,79.24,4.6,85.12,345.63,172.36,8.49,52.62,48.75,236.92,15.98,1891.3,8.07,3.59,130.95,128.54,49.67,330.22,230.48,35.06,8.35,5.48,9.42,55.78,54.75,142.26,293.9,66.15,38.8,8.82,11.17,80.65,35.72,146.82,21.65,6.43,40.54,42.47,70.14,299.87,183.85,13.92,47.97,116.66,3.83,60.4,174.74,167.93,13.97,143.88,34.73,8.91,19.72,221.91,13.53,159.28,96.32,12.12,5.24,64.31,111.79,17.45,1440.03,97.59,245.21,46.95,223.34,3.05,28.04,3.52,20.12,181.27,21.46,38.52,136.6,15.08,10.88,11.99,59.59,8.47,40.31,145.7,137.2,140.9,56.13,60.78,138.94,419.02,72.16,3.06,206.51,118.01,691.1,180.92,50.76,89.51,163.28,170.87,42.45,338.92,61.11,102.16,4.06,53.37,251.98,93.71,8.18,54.58,15.48,136.53,39.41,124.88,51.68,115.28,90.97,2280.0,59.13,95.69,138.33,14.4,91.08,3.58,64.45,39.23,167.48,18.0,71.64,60.91,10.7,38.1,6.76,123.87,5.59,140.56,332.02,55.4,30.61,136.26,104.97,60.06,19.73,32.69,23.36,129.95,6.11,56.25,56.71,195.33,13.32,14.13,19.7,211.75,59.15,52.11,115.88,10.72,69.8,37.04,36.23,8.77
2020-01-14,78.17,4.58,85.74,344.63,171.23,8.35,52.34,48.21,240.0,15.81,1869.44,8.08,3.68,131.53,128.8,50.18,332.35,226.49,35.32,8.38,5.36,9.36,55.6,55.19,140.04,298.97,66.44,38.82,8.78,11.13,81.91,36.48,146.68,21.82,6.59,40.75,42.77,70.29,299.75,182.12,14.02,47.79,116.3,3.82,60.17,173.67,168.15,13.67,145.2,35.35,8.79,19.68,219.06,13.21,162.13,94.72,12.03,5.13,64.2,114.05,17.56,1430.59,97.29,245.66,47.04,222.81,3.14,27.88,3.56,20.41,180.45,21.4,38.38,135.82,15.04,10.86,11.96,59.43,8.46,40.29,146.52,138.8,140.99,56.0,60.7,140.65,416.14,73.36,3.03,207.32,117.04,652.07,181.37,50.87,89.93,162.13,168.34,42.83,338.69,61.2,102.92,4.01,54.0,247.28,94.38,8.06,54.88,15.37,136.85,40.07,124.69,51.25,114.64,90.56,2271.5,59.23,95.37,137.25,14.75,90.99,3.56,64.64,39.53,168.47,17.99,72.47,60.13,10.68,38.09,6.73,125.26,5.66,140.37,332.8,54.69,31.05,136.65,107.58,60.32,19.69,32.82,23.43,130.67,6.2,55.97,56.59,196.05,13.45,14.05,20.37,209.37,59.04,49.3,116.18,10.91,69.2,36.78,36.59,8.89
2020-01-15,77.83,4.46,87.38,342.94,172.81,8.07,51.78,48.55,241.7,15.75,1862.02,8.06,3.82,131.96,129.82,50.8,329.8,225.06,34.67,8.12,5.27,9.23,55.38,55.03,139.4,293.09,66.58,38.71,8.65,10.71,81.24,35.83,145.57,21.17,6.96,40.38,42.38,70.8,300.82,181.06,13.84,48.01,116.13,3.7,61.14,172.92,170.3,13.81,144.32,35.33,8.83,19.12,221.15,12.98,159.15,94.02,11.87,5.01,64.1,116.66,17.9,1439.2,97.19,245.21,47.61,224.59,3.24,27.61,3.53,20.27,180.73,21.42,38.35,136.62,14.98,10.85,11.78,58.94,8.28,39.78,147.01,136.72,142.16,56.7,60.42,141.11,420.95,72.77,3.0,209.77,117.33,659.98,179.78,51.25,91.54,163.18,170.55,43.52,339.07,62.32,102.79,4.06,53.43,245.57,94.6,8.13,54.76,14.87,139.2,40.67,125.96,51.0,114.85,89.67,2288.5,58.99,95.63,136.4,14.58,91.54,3.47,64.41,38.33,167.17,18.19,71.6,59.85,10.61,37.87,6.71,117.0,5.56,139.36,335.2,54.12,30.98,137.57,103.7,58.39,19.55,33.23,22.88,129.17,6.05,56.4,54.97,199.8,13.26,13.79,20.43,211.74,59.1,48.32,115.28,10.5,69.09,36.72,36.95,8.71
2020-01-16,78.81,4.44,88.28,345.38,174.88,8.01,52.36,49.77,240.5,16.27,1877.94,8.06,3.73,133.95,130.55,50.51,332.0,223.94,34.72,8.24,5.32,9.26,56.32,55.56,139.49,286.14,66.78,38.84,8.54,10.78,81.0,35.88,147.87,21.55,7.03,41.27,42.73,70.75,303.03,182.69,13.94,49.05,116.89,3.92,61.7,175.47,170.21,13.86,145.12,35.92,9.08,18.82,221.77,12.85,159.54,94.62,11.84,5.03,63.2,116.66,18.09,1450.16,98.47,249.72,47.16,228.82,3.23,27.64,3.54,20.27,182.26,21.67,38.62,137.98,14.97,10.85,11.85,59.66,8.28,39.56,148.2,137.25,143.43,56.82,61.04,141.43,425.7,73.4,3.03,210.85,118.86,666.46,181.01,51.09,91.18,166.17,172.86,43.82,338.62,62.6,103.37,4.2,53.35,248.93,95.1,8.18,55.43,14.89,139.61,40.61,126.07,51.23,115.4,91.79,2273.0,59.15,96.63,137.29,14.32,92.58,3.48,64.75,38.78,168.67,18.25,72.62,60.42,10.54,38.03,6.78,116.32,5.65,140.1,336.74,54.3,31.52,138.85,102.7,58.75,19.77,34.19,22.73,130.16,6.04,56.49,55.19,200.95,13.16,14.1,20.3,213.54,59.67,49.25,115.9,10.46,68.82,37.29,37.24,8.6
2020-01-17,79.68,4.43,89.0,349.74,176.87,7.8,52.9,50.93,241.49,16.53,1864.72,8.07,3.68,134.72,131.52,51.33,324.15,227.43,34.71,8.44,5.33,9.12,56.06,56.48,139.61,285.5,66.72,38.77,8.52,11.08,81.12,34.99,147.78,21.6,5.86,41.3,43.1,71.18,304.68,182.23,13.87,49.02,115.58,4.21,61.56,176.2,170.7,13.71,144.33,35.82,9.01,18.76,222.14,12.87,159.98,94.53,11.81,5.14,62.98,119.67,17.95,1479.52,99.04,249.46,47.89,231.91,3.1,27.78,3.55,20.26,183.23,21.97,38.77,138.31,14.86,10.88,11.81,59.6,8.36,40.35,149.17,138.2,144.5,56.94,61.95,139.58,425.66,74.06,3.03,211.98,119.03,673.01,181.35,51.02,90.97,167.1,176.12,43.48,339.67,63.54,104.53,4.14,53.81,249.28,95.93,8.23,55.13,15.16,141.26,40.51,126.41,50.95,116.04,95.91,2265.0,60.67,97.17,139.96,14.37,93.62,3.5,64.86,38.37,170.0,19.11,72.48,60.7,10.48,38.38,6.84,116.92,5.62,140.04,339.19,54.01,30.93,140.73,102.1,58.58,19.97,34.22,23.27,131.7,6.28,56.8,55.35,204.7,13.63,14.25,20.09,214.0,60.13,49.18,114.96,10.5,68.56,37.33,36.51,8.74
2020-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2252.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-21,79.14,4.41,89.73,350.0,176.2,7.72,51.67,51.05,237.6,16.55,1892.0,7.8,3.82,130.52,130.53,50.8,313.37,222.26,34.26,7.92,5.21,9.04,56.41,55.58,137.1,287.19,67.43,38.32,8.35,10.35,79.9,34.64,145.85,21.36,5.78,41.07,43.38,71.29,313.26,185.27,13.64,48.8,113.31,4.14,61.78,172.56,169.79,13.3,143.56,35.72,8.89,18.07,221.44,12.27,157.53,93.11,11.66,5.17,62.63,116.74,18.35,1482.25,100.59,245.7,47.5,232.95,3.12,27.59,3.6,19.81,180.93,21.96,37.93,139.17,14.71,10.85,11.56,60.55,7.96,40.06,149.27,136.84,144.59,57.17,61.98,140.91,426.15,70.06,3.04,211.16,120.32,658.46,179.39,51.09,89.97,166.5,176.94,43.71,338.11,64.29,104.58,4.13,52.36,247.94,95.19,8.09,55.22,14.77,141.86,40.34,126.09,48.55,116.15,94.54,2214.5,59.95,97.21,139.54,14.28,92.53,3.45,64.69,36.95,168.81,19.0,72.13,58.51,10.06,38.52,6.98,114.04,5.57,142.38,337.26,53.15,30.49,140.91,109.44,58.24,19.8,34.09,22.25,130.86,6.27,57.12,54.42,207.29,13.25,14.3,20.16,214.44,60.32,48.94,115.59,9.95,67.58,36.03,35.33,8.43
2020-01-22,79.43,4.53,91.86,350.06,178.33,7.69,52.26,51.43,236.75,16.57,1887.46,7.82,3.88,130.23,131.49,50.45,309.0,222.37,34.36,8.02,5.18,9.16,55.88,56.34,134.8,288.1,67.43,37.88,8.43,10.4,80.1,34.51,142.63,21.46,5.96,41.0,44.41,70.53,311.89,182.75,13.58,49.07,112.9,4.24,60.78,171.16,168.98,13.18,144.01,35.89,8.96,18.33,221.32,12.32,155.54,93.88,11.37,5.19,63.4,120.6,18.29,1483.87,100.22,247.05,47.79,232.9,3.13,27.44,3.58,20.98,180.05,21.93,38.07,143.89,14.55,11.04,11.54,62.73,8.01,40.97,148.25,136.68,144.39,57.61,64.0,141.56,424.42,69.45,3.03,211.44,121.09,663.15,178.03,51.03,89.65,165.7,177.74,43.78,326.0,64.98,104.49,4.09,51.97,250.11,95.21,7.93,54.72,14.77,143.38,40.19,126.31,48.78,115.5,92.97,2189.0,60.5,96.78,139.58,14.45,92.53,3.72,64.19,36.68,167.65,19.1,72.38,58.18,10.64,39.04,6.93,113.9,5.46,141.56,340.05,52.9,30.26,141.34,113.91,58.35,20.14,34.02,23.44,133.34,6.5,56.69,54.94,207.9,13.42,14.63,19.94,214.09,60.48,48.56,116.1,9.97,67.19,36.32,35.81,8.4
2020-01-23,79.81,4.45,90.73,351.76,177.83,7.62,51.61,51.71,235.04,16.66,1884.58,8.03,3.95,130.82,131.37,50.2,317.79,219.13,34.12,8.28,5.16,9.02,55.6,55.64,134.2,284.21,66.87,38.2,8.29,10.63,79.8,34.56,142.75,21.43,5.97,40.37,44.38,70.61,312.88,183.98,13.54,49.0,113.1,4.24,60.54,172.06,169.06,13.01,142.2,35.61,8.98,18.23,219.76,11.97,154.88,93.87,11.77,5.31,63.94,123.5,18.43,1484.69,100.56,245.58,47.82,233.65,3.14,27.41,3.5,20.86,179.58,22.1,37.72,142.87,14.64,11.06,11.46,63.32,8.21,40.77,148.53,136.54,144.65,57.83,62.8,141.21,428.78,69.45,3.01,213.42,120.97,663.33,177.74,50.56,88.56,166.72,177.04,43.7,349.6,65.33,103.02,4.06,51.75,252.86,94.92,7.68,54.98,14.91,143.65,40.71,124.99,48.12,117.89,92.0,2179.0,58.91,96.79,138.14,14.96,93.75,3.66,64.09,36.43,168.44,19.25,72.59,57.77,10.62,38.63,6.85,115.53,5.4,143.06,335.38,52.65,30.56,134.19,114.44,57.48,20.08,33.89,23.22,134.25,6.62,56.56,54.88,206.52,13.3,14.44,20.29,215.02,60.51,48.22,115.81,9.69,66.77,36.23,35.93,8.15
